Contact Full Name,Contact Email,Contact Phone,Title,Company,LinkedIn Page,Meeting Date,Meeting Time,Prospect Timezone,Meeting Booked Date,Client Name,Notes
Sarah Mitchell,sarah.mitchell@cloudscale.com,(415) 555-1234,VP Engineering,Cloud Scale Systems,linkedin.com/in/sarah-mitchell-eng,11/17/2025,9:00 AM,America/New_York,11/10/2025,Cloud Scale Systems,Discuss infrastructure scaling needs
Michael Chen,mchen@milpitasgroup.com,(408) 555-2345,Director of Operations,Milpitas Group,linkedin.com/in/michael-chen-ops,11/17/2025,10:30 AM,America/New_York,11/10/2025,Milpitas Group,Review operational efficiency improvements
Jennifer Park,jpark@cloudscale.com,(650) 555-3456,CTO,Cloud Scale Systems,linkedin.com/in/jennifer-park-cto,11/18/2025,2:00 PM,America/New_York,11/11/2025,Cloud Scale Systems,Cloud migration strategy discussion
Robert Kim,rkim@milpitasgroup.com,(510) 555-4567,VP Sales,Milpitas Group,linkedin.com/in/robert-kim-sales,11/18/2025,3:30 PM,America/New_York,11/11/2025,Milpitas Group,Sales automation and CRM integration
Amanda White,awhite@cloudscale.com,(415) 555-5678,Head of Product,Cloud Scale Systems,linkedin.com/in/amanda-white-product,11/19/2025,8:30 AM,America/New_York,11/12/2025,Cloud Scale Systems,Product roadmap and feature planning
Daniel Lee,dlee@milpitasgroup.com,(408) 555-6789,Chief Financial Officer,Milpitas Group,linkedin.com/in/daniel-lee-cfo,11/19/2025,11:00 AM,America/New_York,11/12/2025,Milpitas Group,Financial reporting automation
Lisa Thompson,lthompson@cloudscale.com,(650) 555-7890,VP Marketing,Cloud Scale Systems,linkedin.com/in/lisa-thompson-marketing,11/20/2025,1:00 PM,America/New_York,11/13/2025,Cloud Scale Systems,Marketing analytics and data insights
James Wilson,jwilson@milpitasgroup.com,(510) 555-8901,Director of HR,Milpitas Group,linkedin.com/in/james-wilson-hr,11/20/2025,4:00 PM,America/New_York,11/13/2025,Milpitas Group,HR system modernization project
Nicole Brown,nbrown@cloudscale.com,(415) 555-9012,VP Customer Success,Cloud Scale Systems,linkedin.com/in/nicole-brown-cs,11/21/2025,9:30 AM,America/New_York,11/14/2025,Cloud Scale Systems,Customer success metrics and tools
Christopher Davis,cdavis@milpitasgroup.com,(408) 555-0123,Chief Technology Officer,Milpitas Group,linkedin.com/in/christopher-davis-cto,11/21/2025,2:30 PM,America/New_York,11/14/2025,Milpitas Group,Technology stack evaluation
Michelle Garcia,mgarcia@cloudscale.com,(650) 555-1235,VP Business Development,Cloud Scale Systems,linkedin.com/in/michelle-garcia-bd,11/24/2025,10:00 AM,America/New_York,11/17/2025,Cloud Scale Systems,Partnership opportunities discussion
Andrew Martinez,amartinez@milpitasgroup.com,(510) 555-2346,Director of Supply Chain,Milpitas Group,linkedin.com/in/andrew-martinez-supply,11/24/2025,3:00 PM,America/New_York,11/17/2025,Milpitas Group,Supply chain optimization
Rachel Taylor,rtaylor@cloudscale.com,(415) 555-3457,VP Engineering,Cloud Scale Systems,linkedin.com/in/rachel-taylor-eng,11/25/2025,8:30 AM,America/New_York,11/18/2025,Cloud Scale Systems,Engineering team productivity tools
Thomas Anderson,tanderson@milpitasgroup.com,(408) 555-4568,VP Operations,Milpitas Group,linkedin.com/in/thomas-anderson-ops,11/25/2025,12:00 PM,America/New_York,11/18/2025,Milpitas Group,Operational excellence initiatives
Emily Rodriguez,erodriguez@cloudscale.com,(650) 555-5679,Head of Security,Cloud Scale Systems,linkedin.com/in/emily-rodriguez-security,11/26/2025,1:30 PM,America/New_York,11/19/2025,Cloud Scale Systems,Security compliance and monitoring
Brian Moore,bmoore@milpitasgroup.com,(510) 555-6780,VP Finance,Milpitas Group,linkedin.com/in/brian-moore-finance,11/27/2025,9:00 AM,America/New_York,11/20/2025,Milpitas Group,Financial planning and analysis tools
Jessica Clark,jclark@cloudscale.com,(415) 555-7891,VP Product Management,Cloud Scale Systems,linkedin.com/in/jessica-clark-pm,11/27/2025,4:30 PM,America/New_York,11/20/2025,Cloud Scale Systems,Product management platform evaluation
Kevin Lewis,klewis@milpitasgroup.com,(408) 555-8902,Director of IT,Milpitas Group,linkedin.com/in/kevin-lewis-it,11/28/2025,11:00 AM,America/New_York,11/21/2025,Milpitas Group,IT infrastructure modernization

